AverageReturn,AverageDiscountedReturn,LossAfter,StdReturn,MaxReturn,LossBefore,AveragePolicyStd,MinReturn,Entropy,ExplainedVariance,Perplexity,Iteration,NumTrajs,MeanKL,MaxKL
36.993950439,22.437880668,0.03220553084286171,13.0567720532,63.38480964,0.0072123697598610835,0.992269337565,3.19076006418,1.4111778343,-13.8790963196,4.10078260309,10,54,0.04217266512896401,0.3984490893979816
41.597481871,25.8928044698,-0.020725523112718698,9.526064356,65.0007518658,-0.020425761179422748,0.992010958743,24.9391361994,1.41091740857,0.642855685537,4.09971479283,11,54,0.021319345111389124,0.3033529265748788
44.6278421017,28.2864313601,-0.027064555641694327,7.51552249629,65.3678901224,-0.03175869009715877,0.991672708315,29.2017872958,1.41057637593,0.789181469534,4.09831689468,12,54,0.013964591009730501,0.2903942951834238
41.6121116178,26.3686664025,-0.032451645872390335,7.26364559407,56.8291521387,-0.030640002315058857,0.991222021312,27.1596789917,1.41012180111,0.76203981357,4.09645432637,13,54,0.005262276562886006,0.18544439626345904
44.1649859448,27.8817551269,-0.037477493120055924,7.4099208673,61.2737268191,-0.029646026820113296,0.990684718856,29.6351344477,1.40957959349,0.814731520056,4.09423379967,14,54,0.00813786447969519,0.18116107650094454
44.9493390982,27.6860491393,-0.03451956818018637,8.15667158792,61.8375327417,-0.030421067204089606,0.990079395519,24.0372592614,1.40896839163,0.791779831214,4.09173216093,15,54,0.010042593802679184,0.17530395191854647
48.6690374549,30.3081947574,-0.006606910976963883,6.78445356053,61.3972695766,-0.003234088477200694,0.989415251828,32.0180467389,1.40829736813,0.837658252266,4.08898743348,16,54,0.014934161728460375,0.2922808430027567
47.9894026157,29.1013844257,0.010840078423668902,9.05621942608,72.4749141239,0.007217597778492062,0.988798467289,32.9491968316,1.40767379085,0.748842375299,4.08643842867,17,54,0.011881264784426391,0.1669654262478036
27.7754599494,13.4216429914,0.008255296334990342,141.220123738,65.6523159782,0.006002463279429438,0.988273367753,-997.946055977,1.40714260171,0.000119826570679,4.08426833336,18,54,0.007815058150539343,0.11474926116655647
44.792824717,27.2812857963,0.01834699810100875,12.3369893529,67.0938418202,0.017341281928910015,0.987825133678,16.1169308687,1.4066889461,0.0592485273801,4.08241590234,19,54,0.007169441087285944,0.16132686785148512
20.1696815619,8.64646596633,0.00458381047279637,139.272540029,65.8097976519,0.0062559896661452214,0.987503636012,-990.726792364,1.40636343303,-0.00429404958251,4.08108723886,20,54,0.008353402478487695,0.12882941300198972
33.1702663586,20.3185851214,0.03335487415182017,12.2316293627,61.4050245279,0.03910554989607636,0.987241050443,4.16581912293,1.40609748921,-0.0869602322665,4.08000204324,21,54,0.0032547048395542696,0.06703425624745561
37.3020664057,22.1774734896,0.038820640504416117,13.4330577777,61.4713383508,0.05001254475437982,0.987190829156,9.18982892866,1.40604661758,0.468810190334,4.07979449216,22,54,0.016291742333716483,0.1662132155333588
47.565564792,28.8292436808,-0.018538290820641623,9.27015788146,65.521783822,-0.009113605305681612,0.987355721369,29.2199415281,1.40621363538,0.692129902618,4.08047594737,23,54,0.01863086969752228,0.210850685748432
49.9999272593,30.5243066689,-0.00478058731222785,9.95695200943,73.2007342497,-0.0025676493842083804,0.987467478361,19.5543859595,1.40632681715,0.74959415694,4.080937809,24,54,0.016203845136557975,0.3449538627960848
52.6342797629,32.7022750723,-0.025218203930112284,8.58890364081,67.9529164932,-0.025557485521591032,0.987558421294,31.9843391232,1.40641891005,0.820257596972,4.08131365171,25,54,0.011158073504610806,0.15449805074676884
49.6071932337,31.1509827793,-0.03245444446675223,5.82055883457,59.0110495128,-0.03533766389323979,0.987532534759,30.5852063436,1.40639269705,0.850116714769,4.08120666961,26,54,0.005623095578716218,0.1296986270684642
46.4753666143,29.3938273006,-0.04107067192103871,6.58396208773,58.5953133629,-0.03896902368806968,0.987365397806,31.9005177918,1.40622343569,0.851615927685,4.08051593749,27,54,0.00569783194190763,0.24658821241670642
46.4146832925,29.244146569,-0.056014680567083114,7.81992719965,64.9946146023,-0.054606913342639056,0.987064729575,29.6121140645,1.40591887365,0.80915922568,4.07927335646,28,54,0.00692382861571343,0.29804148720881063
