NumTrajs,Entropy,StdReturn,ExplainedVariance,MaxReturn,LossAfter,Perplexity,MinReturn,Iteration,AverageReturn,MeanKLBefore,AverageDiscountedReturn,MeanKL,LossBefore,dLoss,AveragePolicyStd
629,1.11605699434,109.044200758,0.805804040219,-1242.0819749,-0.011657502396,3.05279325962,-1691.52076416,15,-1449.82234189,4.06939730802e-08,-1367.77416272,0.0063827802509,-1.6780303921e-08,0.0116574856157,0.738686596838
632,1.09507347717,101.072810434,0.818789347893,-1233.90320916,-0.00861700250384,2.98940232814,-1700.26338704,16,-1440.30712006,-5.42937911296e-09,-1358.83064265,0.00722071037569,7.39326158899e-11,0.00861700257777,0.723347847219
635,1.06729729547,97.420760175,0.840547250398,-1237.94695378,-0.00774016908103,2.90751072886,-1673.73008705,17,-1445.2038725,-2.33994825738e-08,-1364.14268914,0.00979305109394,-1.78918208035e-08,0.00774015118921,0.70353247761
635,1.05138112678,103.631107164,0.82759805584,-1240.78435778,-0.00189972359943,2.8616006233,-1687.72969911,18,-1450.04221529,-4.27821811311e-09,-1369.01316099,0.00991178912256,8.94544087693e-09,0.00189973254487,0.692423576105
637,1.0412077464,101.815143134,0.754897421204,-1242.65646445,-0.00604427057015,2.83263605528,-1690.73289217,19,-1442.27452996,-4.57316693958e-08,-1361.63768121,0.00850376654375,5.15165428672e-09,0.0060442757218,0.685414998595
641,1.02734778895,103.413873225,0.830193563701,-1233.9606662,-0.0080778754587,2.79364665989,-1642.97310758,20,-1442.72836728,-2.81104431399e-08,-1362.69736351,0.00751261061033,-1.33502407059e-08,0.00807786210846,0.675980706345
640,1.03172083272,102.260300413,0.829066074476,-1235.43900232,-0.00497757503175,2.80589015018,-1684.18495644,21,-1443.456012,-3.1362856201e-09,-1363.27521009,0.00930311696919,9.24659830614e-09,0.00497758427835,0.678943272559
640,1.01381661071,99.9369509511,0.839930830473,-1234.14874404,-0.00539782553367,2.75609992765,-1690.93676863,22,-1445.54116135,2.30448728988e-08,-1365.24637931,0.00671408663373,3.67852867078e-09,0.0053978292122,0.66689549634
637,1.01133264675,101.656962353,0.827927531411,-1241.0696871,-0.00529394901191,2.74926237038,-1685.99407817,23,-1445.29676808,-6.19051998552e-09,-1364.47878957,0.00656155567875,-1.86384476514e-08,0.00529393037346,0.665241007654
643,1.00919599904,101.662665727,0.824901517817,-1233.18020313,-0.0083852330549,2.74339443634,-1588.57024007,24,-1432.86160775,3.90496326941e-08,-1353.11110312,0.00871894251337,2.11930461568e-08,0.00838525424795,0.663821139403
640,1.00736875905,96.3417100398,0.842850792891,-1227.46637872,-0.00321696908187,2.73838617336,-1680.73709478,25,-1441.96662986,-5.15879439167e-09,-1361.66878634,0.00764799499624,8.6385103901e-09,0.00321697772038,0.662609286381
